model,dep,elasticity,std_error,t_stat,p_value,n_obs,r2_within,stratum_var,stratum_value
Pooled_Flow,NewBookings,-1.5344940173391675,0.009447766209579581,-162.41871182028873,0.0,1048575,0.04146417775989042,,
Pooled_Cumulative,HistoricalBookedNights,-3.3013850569705077,0.024477195058726316,-134.87595490617858,0.0,1048575,0.09415555611041726,,
LeadTime=0-4w,NewBookings,-1.4986956873062836,0.09869123167282172,-15.185702538141541,0.0,98920,0.003553136764144149,LeadTimeBucket,0-4w
LeadTime=5-12w,NewBookings,-1.3184826288905886,0.049085829417607606,-26.860758889766974,0.0,158272,0.0051112089580629405,LeadTimeBucket,5-12w
LeadTime=13-26w,NewBookings,-1.906322079833394,0.032543307740186,-58.578006115812805,0.0,276976,0.01466960516241711,LeadTimeBucket,13-26w
LeadTime=27-52w,NewBookings,-1.234074234819416,0.023894437162115967,-51.64692628860117,0.0,514407,0.007456887362644493,LeadTimeBucket,27-52w
Season=Ampharos,NewBookings,-1.3533359035428543,0.052937005428253636,-25.565025686559697,0.0,22048,0.04272793390567853,SeasonalCluster,Ampharos
Season=Cetoddle,NewBookings,-2.4907701970801854,0.07562214470133619,-32.93704783059631,0.0,22048,0.06376813026913808,SeasonalCluster,Cetoddle
Season=Chandelure,NewBookings,-1.1701913062865252,0.052968749307702186,-22.092107546069013,0.0,22048,0.030135349335109196,SeasonalCluster,Chandelure
Season=Cherrim,NewBookings,-1.4544095907156835,0.0594321558275177,-24.47176230552076,0.0,22048,0.03722076028939658,SeasonalCluster,Cherrim
Season=Clawitzer,NewBookings,-1.3388890828389766,0.0511512692312824,-26.175090138724396,0.0,22048,0.03693886719251782,SeasonalCluster,Clawitzer
Season=Clefairy,NewBookings,-1.5713423092419785,0.06294032299824075,-24.965590171596343,0.0,22048,0.039276447952551474,SeasonalCluster,Clefairy
Season=Cobalion,NewBookings,-0.9701576401721085,0.047146778713808235,-20.577389731357638,0.0,22048,0.028763005202774417,SeasonalCluster,Cobalion
Season=Cradily,NewBookings,-1.7255486027731217,0.05580792277428783,-30.919419985438466,0.0,22048,0.05424544503400852,SeasonalCluster,Cradily
Season=Croagunk,NewBookings,-2.1868899276319946,0.0802427719028208,-27.253419538902026,0.0,22048,0.0513039412512063,SeasonalCluster,Croagunk
Season=Cryogonal,NewBookings,-2.133020394536888,0.07958753377019372,-26.80093594426373,0.0,22048,0.0460396988818621,SeasonalCluster,Cryogonal
Season=Doduo,NewBookings,-1.6340396728141706,0.06112705950183574,-26.731854699555733,0.0,22048,0.04289504576009462,SeasonalCluster,Doduo
Season=Eelektross,NewBookings,-1.4776309884270158,0.059002962167134285,-25.043335692899888,0.0,22048,0.03826209665989755,SeasonalCluster,Eelektross
Season=Eiscue,NewBookings,-1.4389542491620408,0.0581876850235261,-24.72953252187729,0.0,22048,0.03900691917857768,SeasonalCluster,Eiscue
Season=Electrode,NewBookings,-1.3501300182582716,0.05847075777198007,-23.09068788749769,0.0,22048,0.04273324373079335,SeasonalCluster,Electrode
Season=Falinks,NewBookings,-1.392151747122557,0.05717742605222737,-24.347926152725535,0.0,22048,0.034921464171699945,SeasonalCluster,Falinks
Season=Gengar,NewBookings,-1.7163011349363462,0.07077742979902908,-24.249271834393316,0.0,22048,0.03923794957571192,SeasonalCluster,Gengar
Season=Gliscor,NewBookings,-1.0292059910960252,0.04612128947056947,-22.31520416949256,0.0,22048,0.03251764480615882,SeasonalCluster,Gliscor
Season=Gossifleur,NewBookings,-1.6508876425719476,0.059728384502246,-27.639917877066782,0.0,22048,0.04602664334163287,SeasonalCluster,Gossifleur
Season=Gothitelle,NewBookings,-1.1264823128273471,0.05640532249427189,-19.971205960957754,0.0,22048,0.03716091487738704,SeasonalCluster,Gothitelle
Season=Haxorus,NewBookings,-1.66355493145844,0.06093585699705412,-27.300099045769763,0.0,22048,0.045896347800736814,SeasonalCluster,Haxorus
Season=Honedge,NewBookings,-2.1018765978161738,0.10309018543582113,-20.388716820426115,0.0,22048,0.03531892407378423,SeasonalCluster,Honedge
Season=Jirachi,NewBookings,-1.3976182755851452,0.07481542671725705,-18.68088356786406,0.0,12319,0.03766265600293894,SeasonalCluster,Jirachi
Season=Jynx,NewBookings,-0.9669372415063379,0.051249115031901805,-18.86739392288889,0.0,22048,0.02140055200678237,SeasonalCluster,Jynx
Season=Komala1,NewBookings,-1.5394404758947695,0.06814560218267575,-22.590459642106328,0.0,22048,0.04256109408171305,SeasonalCluster,Komala1
Season=Lapras,NewBookings,-0.901146568527378,0.04561125099549667,-19.75711143323718,0.0,22048,0.031963471201466254,SeasonalCluster,Lapras
Season=Magmar,NewBookings,-1.4895955752814012,0.070990171043342,-20.983124190135428,0.0,22048,0.030202141874253186,SeasonalCluster,Magmar
Season=Noivern,NewBookings,-2.0519044807801863,0.06608847053802404,-31.047843354153912,0.0,22048,0.05802280365025314,SeasonalCluster,Noivern
Season=Noivern1,NewBookings,-2.1470432990196056,0.06128228701593428,-35.03529981610091,0.0,22048,0.062372239665205775,SeasonalCluster,Noivern1
Season=Perrserker,NewBookings,-1.1861626223414734,0.06091467038810557,-19.472527960572993,0.0,22048,0.03259587750959969,SeasonalCluster,Perrserker
Season=Persian,NewBookings,-1.197396378661466,0.05674502187410539,-21.101346675273327,0.0,22048,0.04321806472995593,SeasonalCluster,Persian
Season=Raboot,NewBookings,-2.0777830264539823,0.0820118387978093,-25.3351596173391,0.0,22048,0.04014438151088273,SeasonalCluster,Raboot
Season=Remoraid,NewBookings,-1.717432336816959,0.062385089670697724,-27.529532230898386,0.0,22048,0.04640125243868065,SeasonalCluster,Remoraid
Season=Seismitoad,NewBookings,-1.5988957417231409,0.06174293847973038,-25.896009828687426,0.0,22048,0.045041945302997655,SeasonalCluster,Seismitoad
Season=Sentret,NewBookings,-1.734702681308093,0.0645711376315888,-26.864985579245246,0.0,22048,0.03965575515429409,SeasonalCluster,Sentret
Season=Servine,NewBookings,-1.6212319360538392,0.06260311433577541,-25.896985369741646,0.0,22048,0.044260288569235695,SeasonalCluster,Servine
Season=Shroomish,NewBookings,-1.5833585858011738,0.06323264577540957,-25.040207734229003,0.0,22048,0.04212468245058443,SeasonalCluster,Shroomish
Season=Skorupi,NewBookings,-1.6926223352165042,0.06873534771987667,-24.625209464489796,0.0,22048,0.05241687196890321,SeasonalCluster,Skorupi
Season=Snivy,NewBookings,-1.443407076355042,0.0684012488722986,-21.102057347663404,0.0,22048,0.03948616065774957,SeasonalCluster,Snivy
Season=Sobble,NewBookings,-1.4311504273501106,0.05839996149046115,-24.506016627834075,0.0,22048,0.047741942282484184,SeasonalCluster,Sobble
Season=Torkoal,NewBookings,-1.285813862665405,0.04915523385330231,-26.158228979293572,0.0,22048,0.03516322844927955,SeasonalCluster,Torkoal
Season=Totodile,NewBookings,-1.9357888197100102,0.0681535557400376,-28.403342990552265,0.0,22048,0.041941464971873565,SeasonalCluster,Totodile
Season=Trevenant,NewBookings,-1.2553225380528754,0.0519414799593623,-24.16801637217515,0.0,22048,0.04535485256781002,SeasonalCluster,Trevenant
Season=Tyranitar,NewBookings,-1.127339626783246,0.053596288914937576,-21.03391204141842,0.0,22048,0.0309671055696199,SeasonalCluster,Tyranitar
Season=Unfezant,NewBookings,-1.5540705469153824,0.05279306790777902,-29.43701907284671,0.0,22048,0.058343070208339065,SeasonalCluster,Unfezant
Season=Vespiquen,NewBookings,-1.3733469426627334,0.05200421868751434,-26.408375653424812,0.0,22048,0.04819822515809902,SeasonalCluster,Vespiquen
Season=Volcarona,NewBookings,-1.3012839716731828,0.05055698314412875,-25.738956139124426,0.0,22048,0.03987651390289415,SeasonalCluster,Volcarona
Season=Whimsicott,NewBookings,-1.8486884572522588,0.08258584644837184,-22.385051879415656,0.0,22048,0.05205129713478451,SeasonalCluster,Whimsicott
Season=Xerneas,NewBookings,-1.5238934573834668,0.05733374331660627,-26.579346981903466,0.0,22048,0.04263237042576906,SeasonalCluster,Xerneas
