Price Elasticity (Two-Way Fixed Effects)
============================================================

            model                    dep  elasticity  std_error      t_stat  p_value   n_obs  r2_within     stratum_var stratum_value
      Pooled_Flow            NewBookings   -1.534494   0.009448 -162.418712      0.0 1048575   0.041464             NaN           NaN
Pooled_Cumulative HistoricalBookedNights   -3.301385   0.024477 -134.875955      0.0 1048575   0.094156             NaN           NaN
    LeadTime=0-4w            NewBookings   -1.498696   0.098691  -15.185703      0.0   98920   0.003553  LeadTimeBucket          0-4w
   LeadTime=5-12w            NewBookings   -1.318483   0.049086  -26.860759      0.0  158272   0.005111  LeadTimeBucket         5-12w
  LeadTime=13-26w            NewBookings   -1.906322   0.032543  -58.578006      0.0  276976   0.014670  LeadTimeBucket        13-26w
  LeadTime=27-52w            NewBookings   -1.234074   0.023894  -51.646926      0.0  514407   0.007457  LeadTimeBucket        27-52w
  Season=Ampharos            NewBookings   -1.353336   0.052937  -25.565026      0.0   22048   0.042728 SeasonalCluster      Ampharos
  Season=Cetoddle            NewBookings   -2.490770   0.075622  -32.937048      0.0   22048   0.063768 SeasonalCluster      Cetoddle
Season=Chandelure            NewBookings   -1.170191   0.052969  -22.092108      0.0   22048   0.030135 SeasonalCluster    Chandelure
   Season=Cherrim            NewBookings   -1.454410   0.059432  -24.471762      0.0   22048   0.037221 SeasonalCluster       Cherrim
 Season=Clawitzer            NewBookings   -1.338889   0.051151  -26.175090      0.0   22048   0.036939 SeasonalCluster     Clawitzer
  Season=Clefairy            NewBookings   -1.571342   0.062940  -24.965590      0.0   22048   0.039276 SeasonalCluster      Clefairy
  Season=Cobalion            NewBookings   -0.970158   0.047147  -20.577390      0.0   22048   0.028763 SeasonalCluster      Cobalion
   Season=Cradily            NewBookings   -1.725549   0.055808  -30.919420      0.0   22048   0.054245 SeasonalCluster       Cradily
  Season=Croagunk            NewBookings   -2.186890   0.080243  -27.253420      0.0   22048   0.051304 SeasonalCluster      Croagunk
