ReservableOptionMarketGroupId,capacity,baseline_revenue,optimal_revenue,uplift_pct,ladder_0_4w,ladder_5_12w,ladder_13_26w,ladder_27_52w,optimal_total_bookings,optimal_mean_price
Benelux-Armaldo-Fearow-Mobile-2025-12-22,349.0,1397.8926176355633,2100.5436533758784,50.26502228252695,1.15,1.15,1.15,1.05,8.311557111592897,265.8957075471699
Benelux-Arrokuda-Orthworm-Seasonal-2025-09-29,411.0,33.93476357552274,48.54776250628618,43.06203253263227,1.15,1.15,1.05,0.85,0.18968685505775132,246.90121698113202
Benelux-Bayleef-Bellsprout-Seasonal-2025-12-01,148.0,3.7981951857305565,5.119308016718998,34.78264718863664,1.15,0.85,0.85,0.85,0.09152080979546265,47.66503773584907
Benelux-Boldore-Regigigas-Mobile-2025-10-13,610.0,3248.6055370434356,4153.720038308495,27.86163142752032,1.15,1.15,1.05,0.85,9.753496701684634,398.3162264150945
Benelux-Buizel-Gimmighoul-Mobile-2025-09-15,255.0,130.99241627685913,180.8785431570602,38.083217561819914,1.15,1.15,1.05,0.85,0.9840297152921369,170.62378301886784
Benelux-Buizel-Gimmighoul-Mobile-2025-09-29,255.0,55.07949137484378,94.06023922213322,70.7718006726056,1.15,1.15,1.15,0.85,0.5280434210084615,168.511141509434
Benelux-Caterpie-Glaceon-Static-2025-11-03,192.0,1.9198222416199324,3.390301914985339,76.59457430416195,1.15,1.0,0.95,0.85,0.012657107291781069,241.00353773584902
Benelux-Cetoddle1-Steenee1-Permanent-2025-10-27,498.0,164.0764762456881,542.4495941183949,230.60777908597387,0.85,0.85,0.85,0.85,12.202217840926664,48.704037735849056
Benelux-Decidueye-MimeJr-Static-2025-12-15,250.0,103.42221732169882,112.17622159960928,8.464336295054265,1.15,1.15,1.15,1.05,1.3515194837669642,88.63037735849058
Benelux-Dialga-Skitty-Seasonal-2025-11-17,368.0,62.44305061829495,64.40209687021645,3.1373327096026493,1.05,0.85,0.85,0.85,0.17920683209427657,358.0807264150943
Benelux-Espeon-Krabby-Permanent-2025-10-06,311.0,52.976390598366784,63.82983492700134,20.48732313780766,1.15,1.15,0.85,0.85,0.5184173027496083,122.24492452830188
Benelux-Fraxure-Grumpig-Permanent-2025-09-15,798.0,3349.782265005022,11521.215704570603,243.9392412137369,0.85,0.85,0.85,0.85,42.55798034113142,273.454141509434
Benelux-Fraxure-Grumpig-Permanent-2025-12-22,798.0,2514.973714217014,3580.240283268803,42.356966318569995,0.85,0.85,0.85,0.85,11.60189213101215,292.824679245283
Benelux-Hakamoo-Turtonator-Permanent-2025-10-20,247.0,305.07178035192504,341.6091631158328,11.976651108719048,1.0,1.0,0.95,0.85,0.670095191041562,473.0999056603773
Benelux-Hakamoo-Turtonator-Permanent-2025-11-10,247.0,6.302834366581735,12.039386618926983,91.01543716206518,0.85,0.85,0.85,0.85,0.025174474343904393,448.0014811320756
Benelux-Hakamoo-Turtonator-Permanent-2025-12-01,247.0,38.319368479116825,46.343112739043896,20.939134903279594,1.05,0.85,0.85,0.85,0.11953605570161815,386.3009433962265
Benelux-Haxorus1-Venusaur-Mobile-2025-11-10,342.0,4.24345934372899,4.590026675279038,8.167094426442603,1.15,0.95,0.85,0.85,0.039694330163467524,104.5386509433962
Benelux-Haxorus1-Venusaur-Mobile-2025-11-24,342.0,4.830844592714611,5.5499043162551835,14.884762068831314,1.15,0.95,0.85,0.85,0.04858979318080473,104.5386509433962
Benelux-Haxorus1-Venusaur-Mobile-2025-12-15,342.0,159.76105317935898,187.73943066111005,17.51263961081965,1.15,1.15,1.15,1.15,1.2173464366180047,153.5208773584906
Benelux-Illumise-Appletun-Mobile-2025-09-15,314.0,219.64397222355257,312.3698080725066,42.21642638778091,1.15,1.15,1.15,0.85,1.007366669484144,270.76934905660374
Benelux-Inkay-Chimchar-Permanent-2025-12-01,543.0,11.960056728305974,11.960056728305974,0.0,1.0,0.85,0.85,0.85,0.09742478808072377,124.95350943396225
Benelux-Kyogre-Rhydon-Permanent-2025-09-22,303.0,699.8651819084944,730.3717009863279,4.358913668864615,1.15,1.15,1.05,1.0,1.4110090836388285,528.9325660377359
Benelux-Kyogre-Rhydon-Permanent-2025-12-22,303.0,1109.6335569519397,1924.033968666169,73.39363581895554,1.15,1.15,0.95,0.85,3.9313892627102898,525.1125849056604
Benelux-Larvesta-Hawlucha-Mobile-2025-10-13,242.0,170.02641377684648,292.1503536626019,71.82645165123502,1.15,1.15,1.15,1.15,0.947036120861707,299.73556603773574
Benelux-Larvesta-Hawlucha-Mobile-2025-10-27,242.0,156.3855726214871,216.2579707296355,38.28511614243501,1.15,1.15,1.15,1.15,0.7243015714101887,297.32620754716976
Benelux-Larvesta-Hawlucha-Mobile-2025-12-01,242.0,6.579612719413797,8.170708287304706,24.182207004315377,1.05,0.85,0.85,0.85,0.03854680162742441,207.16788679245286
Benelux-Mawile-Houndour-Mobile-2025-09-29,259.0,76.79520202134016,87.49545376516478,13.933489934502933,1.15,1.15,0.95,0.85,1.1772823349224655,69.70204716981132
Benelux-Mawile-Houndour-Mobile-2025-10-20,259.0,192.69743472288005,219.32376096784566,13.817685888375824,1.15,1.15,1.15,1.15,2.460329979135435,88.49835849056603
Benelux-Mawile-Houndour-Mobile-2025-12-22,259.0,540.2264438843627,698.037077993422,29.211941750641014,1.15,1.15,1.15,1.05,9.158367730808038,79.65408490566038
Benelux-Naganadel-Zoroark-Permanent-2025-10-20,950.0,2144.6339799927887,3422.838959537368,59.60014582762869,1.0,0.95,0.85,0.85,6.847760520659486,486.44560377358476
Benelux-Naganadel-Zoroark-Permanent-2025-12-15,950.0,5315.582544375409,7569.822517186435,42.40814537244484,0.85,0.85,0.85,0.85,14.949571121392866,489.17933018867916
Benelux-Oricorio-Dragonite-Mobile-2025-11-10,313.0,5.0701893711828765,5.798879739677226,14.372054279391648,1.05,0.85,0.85,0.85,0.05023415143911593,106.69650943396225
Benelux-Pawmot-Electrike-Permanent-2025-09-29,279.0,13.99050609222115,28.235146087720192,101.816473983162,1.15,1.15,1.15,1.15,0.479016787312828,60.14044339622641
Benelux-Pawmot-Electrike-Permanent-2025-10-06,279.0,14.771745417785125,38.838933338385104,162.92717779730467,1.15,1.15,1.15,1.15,0.6298575821012492,62.80366981132076
Benelux-Pinsir-Flamigo-Permanent-2025-11-03,326.0,27.755122289970327,27.755122289970327,0.0,1.0,0.85,0.85,0.85,0.07389149217286174,387.5753396226414
Benelux-Pinsir-Flamigo-Permanent-2025-11-17,326.0,28.272252254439472,33.169342195119114,17.321187914594503,1.15,0.95,0.85,0.85,0.07868330666569431,398.5256603773584
Benelux-Porygon2-Xurkitree-Permanent-2025-11-03,322.0,56.17636177431162,63.802405731258766,13.57518307715397,1.05,0.85,0.85,0.85,0.4235324174707754,145.3496320754717
Benelux-Porygon2-Xurkitree-Permanent-2025-11-24,322.0,39.20454758544634,39.20454758544634,0.0,1.0,0.85,0.85,0.85,0.28384410357259154,143.38705660377357
Benelux-PorygonZ-Skiploom-Permanent-2025-09-22,273.0,134.45638126543096,177.321830753057,31.880561624669294,1.15,1.15,0.85,0.85,1.652241430570271,111.01708490566035
Benelux-Quaquaval-Sizzlipede-Mobile-2025-10-06,202.0,25.696217381875325,39.1080315769876,52.193729512002875,0.85,0.85,0.85,0.85,0.2647568702618429,167.5192830188679
Benelux-Quaquaval-Sizzlipede-Mobile-2025-12-01,202.0,11.548414301017258,13.10612376064752,13.488513825599838,1.15,1.0,0.85,0.85,0.07357479214990276,169.14358490566033
Benelux-Shelgon-Woobat-Permanent-2025-10-13,225.0,928.9522925855384,1155.1823267981515,24.353245696068043,1.0,0.95,0.85,0.85,2.6902797082852823,417.09735849056597
Benelux-Silvally-Kricketot-Permanent-2025-09-29,348.0,281.41310990711713,546.9432660538639,94.35600076854534,1.05,0.85,0.85,0.85,2.3967062126220076,217.5820094339623
Benelux-Silvally-Kricketot-Permanent-2025-10-20,348.0,586.0116850388221,728.8794789483346,24.379683469971738,1.15,1.0,0.95,0.85,2.722375202406982,253.45253773584906
Benelux-Silvally-Kricketot-Permanent-2025-10-27,348.0,577.122252693362,627.019211357623,8.645821302401306,1.15,1.15,1.15,0.95,2.0632174950375908,310.8293018867924
Benelux-Silvally-Kricketot-Permanent-2025-11-03,348.0,19.10132895677359,73.77171421453332,286.21246920294976,0.85,0.85,0.85,0.85,0.290998330317177,236.21371698113217
Benelux-Silvally-Kricketot-Permanent-2025-11-10,348.0,106.74988600448414,106.74988600448414,0.0,1.0,0.85,0.85,0.85,0.5456723713361148,202.90711320754713
Benelux-Slowpoke-Carnivine-Static-2025-12-22,435.0,410.72212230415823,413.63643534536357,0.7095583322505216,1.15,1.15,1.15,1.0,2.250167034443849,198.32449056603778
Benelux-Sunkern-Murkrow-Permanent-2025-12-08,435.0,6096.253879664157,6110.801347490146,0.2386296258841371,1.15,1.15,1.15,1.0,16.03961002011798,414.8812924528301
Benelux-Sunkern-Murkrow-Permanent-2025-12-15,435.0,9760.645255672514,9818.43099326317,0.5920278432112083,1.15,1.15,1.15,1.0,25.044300878190544,411.3462358490565
Benelux-Thundurus-Meditite-Mobile-2025-11-03,234.0,9.185212484211089,10.079290866214894,9.733888938777193,1.15,1.0,0.85,0.85,0.07897861121419682,116.62790566037734
Benelux-Umbreon-Grafaiai1-Mobile-2025-11-24,746.0,204.84100781365026,215.32025319275934,5.115794679472748,1.15,1.0,0.85,0.85,0.6029069853591533,353.74866037735836
Benelux-Unown-Charjabug1-Permanent-2025-12-22,545.0,587.1034770962767,594.0566479758486,1.1843177822691806,1.15,1.15,1.15,1.0,5.14521701351655,124.39527358490567
Benelux-Yveltal-Tepig-Mobile-2025-09-15,401.0,86.8686760022349,90.30738733355543,3.958517027739723,1.15,1.15,1.0,0.85,0.43948504491613855,182.36454716981137
Benelux-Yveltal-Tepig-Mobile-2025-09-22,401.0,171.3454590599766,183.6292830899932,7.169039726764429,1.15,1.15,1.15,0.95,0.8844150532799436,208.83286792452827
Benelux-Zubat-Chansey-Seasonal-2025-10-27,473.0,504.15004429478614,619.0154071791177,22.783963660066167,1.15,1.15,1.15,1.05,3.391590207942491,181.4243867924528
DACH-Armaldo-Fearow-Mobile-2025-10-20,349.0,239.62600029335042,322.0527191523655,34.39806980799588,1.15,1.15,1.05,0.85,1.284939698663296,234.10214150943395
DACH-Arrokuda-Orthworm-Seasonal-2025-10-13,411.0,1014.9414074979519,1698.1493543672086,67.31501363743851,0.95,0.85,0.85,0.85,6.488891661359047,249.1314433962264
DACH-Boldore-Regigigas-Mobile-2025-11-03,610.0,54.875724805634114,74.86240055573481,36.42170708613338,1.15,0.85,0.85,0.85,0.20644976409261212,332.9123773584905
DACH-Buizel-Gimmighoul-Mobile-2025-09-22,255.0,176.96590199218724,262.0640710899556,48.087325377249954,1.15,1.15,0.95,0.85,1.3480387468705977,191.52560377358495
DACH-Caterpie-Glaceon-Static-2025-11-17,192.0,10.393863388316666,14.807268216867312,42.46163975477667,1.15,0.85,0.85,0.85,0.07020274470296918,191.78279245283022
DACH-Empoleon1-Eiscue1-Mobile-2025-12-01,516.0,33.804907429721986,43.10941963846283,27.52414639230789,1.15,0.85,0.85,0.85,0.23710595736579954,166.13061320754719
DACH-Fraxure-Grumpig-Permanent-2025-09-15,798.0,1791.4463299664426,5431.879074360221,203.21193459711247,0.85,0.85,0.85,0.85,20.087916238649406,273.454141509434
DACH-Fraxure-Grumpig-Permanent-2025-09-22,798.0,1267.6525708420738,1876.622392774548,48.0391738193651,0.85,0.85,0.85,0.85,6.207239795105145,282.3711226415094
DACH-Fraxure-Grumpig-Permanent-2025-11-24,798.0,35.377693982278515,50.80447723295357,43.60596046311747,1.15,0.85,1.15,0.85,0.17256802806293353,284.84909433962264
DACH-Fraxure-Grumpig-Permanent-2025-12-01,798.0,54.01056353481094,83.67766026928527,54.928322892526865,1.15,0.85,0.85,0.85,0.2850106729316873,263.1530849056605
DACH-Fraxure-Grumpig-Permanent-2025-12-22,798.0,1763.2912783459944,2294.3753580895564,30.11890810471939,1.15,1.15,1.15,1.05,6.463561177153382,379.812566037736
DACH-Grafaiai-Hariyama-Permanent-2025-12-22,427.0,135.75112396023522,140.21550782360734,3.2886533334927277,1.15,1.15,1.15,1.05,2.448920173304,61.893858490566046
DACH-Haxorus1-Venusaur-Mobile-2025-09-15,342.0,56.298971595960865,99.85331624508326,77.36259369300305,1.15,1.15,1.15,0.85,0.7192960247876541,123.72990566037733
DACH-Haxorus1-Venusaur-Mobile-2025-09-29,342.0,46.781327339820436,72.90330971873851,55.83848057402799,1.15,1.15,1.15,0.85,0.5294760336219058,122.87395283018866
DACH-Haxorus1-Venusaur-Mobile-2025-11-24,342.0,8.860397177948595,10.418240777459932,17.582096696392302,1.15,0.85,0.85,0.85,0.09426311597952172,102.93872641509434
DACH-Illumise-Appletun-Mobile-2025-10-27,314.0,730.0758424545354,1074.4052429380602,47.163511030015684,1.05,1.0,0.95,0.85,3.8861790120139834,265.96656603773584
DACH-Inkay-Chimchar-Permanent-2025-10-06,543.0,416.1846788220591,519.3230904862994,24.78188576190654,1.15,1.15,0.95,0.85,3.595512479307531,139.44345283018865
DACH-Kyogre-Rhydon-Permanent-2025-09-22,303.0,935.6541240674903,973.7192142208226,4.068286471912833,1.15,1.15,1.05,1.0,1.883845804828628,528.9325660377359
DACH-Kyogre-Rhydon-Permanent-2025-12-22,303.0,1739.771267144581,2637.986646629952,51.62836037403794,1.15,1.15,0.95,0.85,5.418125478260158,525.1125849056604
DACH-Larvesta-Hawlucha-Mobile-2025-11-17,242.0,7.0143754126815585,7.455015828818969,6.281962259116616,1.05,0.85,0.85,0.85,0.03592034339302684,206.7939056603773
DACH-Mawile-Houndour-Mobile-2025-11-17,259.0,0.7058254599614731,1.1951117101270032,69.32113927885763,0.85,0.85,0.85,0.85,0.023742211695710978,56.36045283018868
DACH-Mudkip-Tyrunt-Mobile-2025-11-03,429.0,9.984963825934136,11.076262855019369,10.929423962967013,1.15,0.85,0.85,0.85,0.0459016009026743,221.52659433962265
DACH-Naganadel-Zoroark-Permanent-2025-09-29,950.0,406.3508894628469,419.09852480509767,3.1371003910196413,1.15,1.05,1.0,0.85,0.8763380833758277,462.1873301886792
DACH-Naganadel-Zoroark-Permanent-2025-10-20,950.0,193.6376466018833,455.4282150959382,135.19611144226167,1.15,1.0,0.85,0.85,0.9097453158612429,499.33126415094335
DACH-Oinkologne-Darmanitan-Mobile-2025-10-20,383.0,227.45566401555067,290.5401008774139,27.734827855309113,1.15,1.0,0.85,0.85,1.857999583014196,158.3348773584906
DACH-Oinkologne-Darmanitan-Mobile-2025-11-17,383.0,23.728443329911503,23.728443329911503,0.0,1.0,0.85,0.85,0.85,0.15488540032579312,150.47712264150942
DACH-Oricorio-Dragonite-Mobile-2025-11-03,313.0,7.285144420952478,8.263416860959563,13.428319103647677,1.05,0.85,0.85,0.85,0.07158378042533645,106.76579245283017
DACH-Pawmot-Electrike-Permanent-2025-11-17,279.0,5.940161737824322,6.37111140745079,7.254847403941398,1.15,1.0,0.85,0.85,0.13026670477684918,45.72796226415094
DACH-Porygon2-Xurkitree-Permanent-2025-09-15,322.0,165.10497561399876,188.58120667221826,14.21897248760383,1.15,1.15,0.95,0.85,0.9529452592357137,184.99056603773585
DACH-PorygonZ-Skiploom-Permanent-2025-11-10,273.0,3.4726820616754237,3.583856594840445,3.2014025813634106,1.05,0.85,0.85,0.85,0.039074948563147104,84.77506603773583
DACH-PorygonZ-Skiploom-Permanent-2025-12-08,273.0,116.36413503819627,148.87148995623073,27.9358884138691,1.15,1.15,1.15,1.05,1.3526256219647927,118.43298113207548
DACH-Shelgon-Woobat-Permanent-2025-10-20,225.0,960.242637638802,989.5294381495949,3.049937522333725,1.15,1.15,1.0,0.85,2.353223768084449,396.6469905660376
DACH-Slowpoke1-Lampent-Mobile-2025-09-29,221.0,8.78598991827644,12.605485361486727,43.47256801723672,1.15,1.15,1.15,0.85,0.22635279002557365,49.30108490566037
DACH-Slowpoke1-Lampent-Mobile-2025-11-03,221.0,3.314433844878547,3.731725414462376,12.590131199288432,1.15,1.05,0.85,0.85,0.07880251652112569,42.504094339622654
DACH-Slowpoke1-Lampent-Mobile-2025-12-15,221.0,82.59913773622121,90.38933459422726,9.431329516881766,1.15,1.15,1.15,1.05,1.6005320265225473,59.469669811320756
DACH-Slowpoke1-Lampent-Mobile-2025-12-22,221.0,80.37647896506262,109.49012356190599,36.22159737738481,1.05,1.05,1.05,0.85,2.3980104072956467,47.466037735849056
DACH-Spearow-Cobalion1-Mobile-2025-10-20,642.0,1573.7166882318925,2083.212104972084,32.375294775111115,1.15,1.15,1.15,1.15,3.561042919882839,602.5906698113207
DACH-Spearow-Cobalion1-Mobile-2025-11-03,642.0,99.01738054502741,111.48881875414543,12.595201105574315,0.85,0.85,0.85,0.85,0.33379985794611794,403.49163207547167
DACH-Stantler-Passimian-Static-2025-09-22,445.0,1052.9203694115265,1930.55511308002,83.35243283012944,0.95,0.85,0.85,0.85,16.08614958383865,122.95458490566037
DACH-Stantler-Passimian-Static-2025-11-03,445.0,26.83420121189738,26.83420121189738,0.0,1.0,0.85,0.85,0.85,0.23043539039843178,119.5682075471698
DACH-Sunkern-Murkrow-Permanent-2025-09-15,435.0,210.0754731495121,302.03668192461856,43.77531912526364,1.15,1.15,1.05,0.85,0.8388138194627135,326.6372924528302
DACH-Sunkern-Murkrow-Permanent-2025-09-29,435.0,88.17489879709012,137.0015140125715,55.37473349171875,1.15,1.15,1.05,0.85,0.38732422025577684,323.8534433962264
DACH-Thundurus-Meditite-Mobile-2025-12-01,234.0,33.02465451167933,35.60129479714882,7.802171812450744,1.15,1.0,0.85,0.85,0.2839609158355918,116.65479245283016
DACH-Tinglu-Drampa-Mobile-2025-10-06,590.0,109.51604773809655,153.40076559366594,40.07149523923473,1.15,1.15,1.15,0.85,0.3934169846673792,351.94703773584905
DACH-Tinglu-Drampa-Mobile-2025-11-10,590.0,12.797558480008014,19.960708713089247,55.972787655327416,1.15,0.85,0.85,0.85,0.06252796574581922,289.69655660377356
DACH-Umbreon-Grafaiai1-Mobile-2025-10-06,746.0,241.17708543907065,350.0840479791807,45.15643032249162,1.15,1.15,1.15,1.15,0.8244196223424873,459.013820754717
DACH-Umbreon-Grafaiai1-Mobile-2025-12-22,746.0,1208.8733921972441,2144.759347960797,77.41802920010424,0.95,0.85,0.85,0.85,5.917218328843097,367.3731886792452
DACH-Unown-Charjabug1-Permanent-2025-11-17,545.0,25.085308214460667,28.2517443182259,12.622671711643191,1.15,1.05,0.85,0.85,0.2724329666897351,92.23804716981132
DACH-Yveltal-Tepig-Mobile-2025-11-10,401.0,25.793832619343004,30.532623381163216,18.371797753958266,1.15,1.15,0.85,0.85,0.19700196229059583,146.63460377358487
Domestic-Azelf-Shaymin-Mobile-2025-12-22,811.0,1599.227740942033,4152.866216984224,159.67947595368483,1.15,1.15,0.85,0.85,12.814135848920502,343.5294433962264
Domestic-Bayleef-Bellsprout-Seasonal-2025-11-10,148.0,1.0488726202276524,1.9422153406017861,85.17170752157095,1.15,0.85,0.85,0.85,0.03472209919554109,47.66503773584907
Domestic-Bayleef-Bellsprout-Seasonal-2025-12-01,148.0,2.5832303209648115,3.5541338868328154,37.58486256484403,1.15,0.85,0.85,0.85,0.06353929288531207,47.66503773584907
Domestic-Buizel-Gimmighoul-Mobile-2025-10-06,255.0,54.97454742387919,56.26743706726329,2.351796793187442,1.15,1.05,1.0,0.85,0.28965500797745136,174.96962264150946
Domestic-Buizel-Gimmighoul-Mobile-2025-12-01,255.0,57.10612833601076,62.22075453488571,8.956352580550787,1.05,0.85,0.85,0.85,0.42089538647486263,144.86013207547168
Domestic-Caterpie-Glaceon-Static-2025-10-06,192.0,30.699344979254136,44.40992352847596,44.66081787245655,1.15,0.85,1.15,0.85,0.18925224460623175,212.71819811320748
Domestic-Caterpie-Glaceon-Static-2025-10-13,192.0,115.95614597983561,156.66174996351592,35.104309167673506,1.05,1.0,0.95,0.85,0.6127786693323783,234.88793396226419
Domestic-Caterpie-Glaceon-Static-2025-12-01,192.0,4.614548877053305,7.6083575035551725,64.87760139217797,1.15,0.85,0.85,0.85,0.03627570482821426,191.75867924528296
Domestic-Cetoddle1-Steenee1-Permanent-2025-12-01,498.0,10.9277957567923,11.317580682923062,3.5669126217744926,1.05,0.85,0.85,0.85,0.2186781957689295,47.84919811320754
Domestic-Decidueye-MimeJr-Static-2025-11-03,250.0,1.0499103988351033,1.1165307698668396,6.345338717061283,1.15,0.85,0.85,0.85,0.014558349402059363,65.35149999999999
Domestic-Decidueye-MimeJr-Static-2025-11-10,250.0,1.0499103988351033,1.1165307698668396,6.345338717061283,1.15,0.85,0.85,0.85,0.014558349402059363,65.35149999999999
Domestic-Empoleon1-Eiscue1-Mobile-2025-09-15,516.0,156.44953443745962,190.43382742890148,21.722207812019416,1.15,1.15,1.05,0.85,0.8002085734702098,215.13732075471694
Domestic-Empoleon1-Eiscue1-Mobile-2025-11-03,516.0,25.638198264986304,25.638198264986304,0.0,1.0,0.85,0.85,0.85,0.16170418331747904,163.9479811320754
Domestic-Empoleon1-Eiscue1-Mobile-2025-11-10,516.0,27.179251644410204,32.635246049261546,20.074115638770518,1.15,0.85,0.85,0.85,0.1806970698850355,165.81135849056602
Domestic-Espeon-Krabby-Permanent-2025-10-13,311.0,187.28947257889337,210.6739922019984,12.48576297488082,1.15,1.15,1.15,0.95,1.1971103162330976,161.84061320754714
Domestic-Grafaiai-Hariyama-Permanent-2025-09-29,427.0,30.929005742079536,37.74912793335724,22.050893740818793,1.15,1.15,1.05,0.85,0.7287139788288822,49.63159433962263
Domestic-Grafaiai-Hariyama-Permanent-2025-12-01,427.0,2.9459680417896505,2.9459680417896505,0.0,1.0,0.85,0.85,0.85,0.06444909301661891,44.1483962264151
Domestic-Larvesta-Hawlucha-Mobile-2025-09-29,242.0,43.33351601460301,50.6270438907208,16.831147220225404,1.15,1.05,0.95,0.85,0.18885697844687516,247.82993396226408
